Order_ID,Service_Type,Order_Date,Amount_NGN,Status,Delivery_Time_Min,Payment_Method,Customer_Rating
OTS-1001,Food,1/1/2025,4500,Completed,25,Wallet,5
OTS-1002,Ride,1/1/2025,1200,Completed,12,Cash,4
OTS-1003,Logistics,1/1/2025,2500,Cancelled,,Card,
OTS-1004,Food,1/2/2025,3200,Completed,35,Wallet,3
OTS-1005,Grocery,1/2/2025,8500,Completed,55,Card,5
OTS-1006,Ride,1/2/2025,1500,Completed,18,Cash,4
OTS-1007,Food,1/3/2025,2800,Completed,22,Wallet,5
OTS-1008,Logistics,1/3/2025,4000,Completed,45,Card,2
OTS-1009,Food,1/3/2025,5100,Cancelled,,Wallet,
OTS-1010,Ride,1/4/2025,900,Completed,10,Cash,5
OTS-1011,Grocery,1/4/2025,12000,Completed,65,Card,4
OTS-1012,Food,1/4/2025,3800,Completed,28,Wallet,4
OTS-1013,Ride,1/5/2025,2200,Completed,20,Wallet,3
OTS-1014,Logistics,1/5/2025,3100,Completed,38,Card,4
OTS-1015,Food,1/5/2025,4200,Completed,30,Cash,5
OTS-1016,Grocery,1/6/2025,7500,Completed,50,Wallet,4
OTS-1017,Ride,1/6/2025,1100,Completed,15,Cash,5
OTS-1018,Food,1/6/2025,2900,Cancelled,,Card,
OTS-1019,Logistics,1/7/2025,5500,Completed,60,Wallet,3
OTS-1020,Food,1/7/2025,3300,Completed,25,Cash,4
OTS-1021,Ride,1/7/2025,1800,Completed,14,Card,5
OTS-1022,Grocery,1/8/2025,9200,Completed,48,Wallet,4
OTS-1023,Food,1/8/2025,4100,Completed,32,Cash,5
OTS-1024,Logistics,1/8/2025,2700,Completed,40,Card,4
OTS-1025,Ride,1/9/2025,1350,Completed,16,Wallet,4
OTS-1026,Food,1/9/2025,3600,Completed,27,Cash,5
OTS-1027,Grocery,1/9/2025,11000,Completed,70,Card,3
OTS-1028,Ride,1/10/2025,1600,Completed,19,Wallet,5
OTS-1029,Logistics,1/10/2025,4800,Cancelled,,Card,
OTS-1030,Food,1/10/2025,2500,Completed,20,Cash,4
OTS-1031,Ride,1/11/2025,2100,Completed,15,Wallet,5
OTS-1032,Grocery,1/11/2025,13500,Completed,62,Card,5
OTS-1033,Food,1/11/2025,4900,Completed,45,Cash,2
OTS-1034,Logistics,1/12/2025,3300,Completed,35,Wallet,4
OTS-1035,Ride,1/12/2025,1250,Completed,11,Card,4
OTS-1036,Food,1/12/2025,2700,Completed,24,Cash,5
OTS-1037,Grocery,1/13/2025,6800,Completed,55,Wallet,4
OTS-1038,Ride,1/13/2025,1950,Completed,17,Card,5
OTS-1039,Logistics,1/13/2025,5200,Cancelled,,Cash,
OTS-1040,Food,1/14/2025,3100,Completed,29,Wallet,4
OTS-1041,Ride,1/14/2025,1450,Completed,13,Card,5
OTS-1042,Grocery,1/14/2025,10500,Completed,68,Cash,4
OTS-1043,Food,1/15/2025,4400,Completed,33,Wallet,5
OTS-1044,Logistics,1/15/2025,2900,Completed,42,Card,4
OTS-1045,Ride,1/15/2025,1750,Completed,18,Cash,4
OTS-1046,Food,1/16/2025,3900,Completed,26,Wallet,5
OTS-1047,Grocery,1/16/2025,8800,Completed,52,Card,4
OTS-1048,Ride,1/16/2025,1300,Completed,15,Cash,3
OTS-1049,Logistics,1/17/2025,4600,Completed,58,Wallet,4
OTS-1050,Food,1/17/2025,2800,Cancelled,,Card,
OTS-1051,Ride,1/17/2025,2050,Completed,16,Cash,5
OTS-1052,Grocery,1/18/2025,11500,Completed,64,Wallet,4
OTS-1053,Food,1/18/2025,5200,Completed,40,Card,5
OTS-1054,Logistics,1/18/2025,3400,Completed,37,Cash,4
OTS-1055,Ride,1/19/2025,1550,Completed,14,Wallet,5
OTS-1056,Food,1/19/2025,3000,Completed,23,Card,4
OTS-1057,Grocery,1/19/2025,9500,Completed,57,Cash,4
OTS-1058,Ride,1/20/2025,1200,Completed,11,Wallet,5
OTS-1059,Logistics,1/20/2025,2600,Cancelled,,Card,
OTS-1060,Food,1/20/2025,4700,Completed,35,Cash,3
OTS-1061,Ride,1/21/2025,1900,Completed,15,Wallet,5
OTS-1062,Grocery,1/21/2025,12800,Completed,66,Card,5
OTS-1063,Food,1/21/2025,2900,Completed,22,Cash,4
OTS-1064,Logistics,1/22/2025,3800,Completed,44,Wallet,4
OTS-1065,Ride,1/22/2025,1400,Completed,12,Card,5
OTS-1066,Food,1/22/2025,3500,Completed,28,Cash,4
OTS-1067,Grocery,1/23/2025,7200,Completed,49,Wallet,5
OTS-1068,Ride,1/23/2025,2300,Completed,20,Card,4
OTS-1069,Logistics,1/23/2025,4100,Cancelled,,Cash,
OTS-1070,Food,1/24/2025,4300,Completed,31,Wallet,5
OTS-1071,Ride,1/24/2025,1150,Completed,13,Card,4
OTS-1072,Grocery,1/24/2025,11200,Completed,60,Cash,5
OTS-1073,Food,1/25/2025,2600,Completed,21,Wallet,4
OTS-1074,Logistics,1/25/2025,3000,Completed,39,Card,4
OTS-1075,Ride,1/25/2025,1850,Completed,16,Cash,5
OTS-1076,Food,1/26/2025,5000,Completed,42,Wallet,3
OTS-1077,Grocery,1/26/2025,9000,Completed,54,Card,4
OTS-1078,Ride,1/26/2025,1400,Completed,14,Cash,5
OTS-1079,Logistics,1/27/2025,5300,Completed,55,Wallet,4
OTS-1080,Food,1/27/2025,3400,Cancelled,,Card,
